,runID,module,name,value,configname,datetime,datetimef,experiment,inifile,iterationvars,iterationvarsd,iterationvarsf,measurement,network,processid,repetition,replication,resultdir,runnumber,seedset
0,Filas-0-20231214-09:15:49-4678,RedeFilas.sink1,Ave delay,1.1411263632876,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=0.9",0.7/0.9/0.7/0.9,"0.7,0.9,0.7,0.9-","$0=0.7, $1=0.9, $2=0.7, $3=0.9",RedeFilas,4678,0,#0,results,0,0
1,Filas-0-20231214-09:15:49-4678,RedeFilas.sink2,Ave delay,12.920898100097,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=0.9",0.7/0.9/0.7/0.9,"0.7,0.9,0.7,0.9-","$0=0.7, $1=0.9, $2=0.7, $3=0.9",RedeFilas,4678,0,#0,results,0,0
2,Filas-1-20231214-09:15:49-4683,RedeFilas.sink1,Ave delay,1.1423967683508,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=1.7",0.7/0.9/0.7/1.7,"0.7,0.9,0.7,1.7-","$0=0.7, $1=0.9, $2=0.7, $3=1.7",RedeFilas,4683,0,#0,results,1,1
3,Filas-1-20231214-09:15:49-4683,RedeFilas.sink2,Ave delay,9.2666930978892,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=0.7, $3=1.7",0.7/0.9/0.7/1.7,"0.7,0.9,0.7,1.7-","$0=0.7, $1=0.9, $2=0.7, $3=1.7",RedeFilas,4683,0,#0,results,1,1
4,Filas-2-20231214-09:15:49-4688,RedeFilas.sink1,Ave delay,1.2326025270629,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=0.9",0.7/0.9/1.5/0.9,"0.7,0.9,1.5,0.9-","$0=0.7, $1=0.9, $2=1.5, $3=0.9",RedeFilas,4688,0,#0,results,2,2
5,Filas-2-20231214-09:15:49-4688,RedeFilas.sink2,Ave delay,3.2564317801324,Filas,20231214-09:15:49,20231214-091549,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=0.9",0.7/0.9/1.5/0.9,"0.7,0.9,1.5,0.9-","$0=0.7, $1=0.9, $2=1.5, $3=0.9",RedeFilas,4688,0,#0,results,2,2
6,Filas-3-20231214-09:15:50-4693,RedeFilas.sink1,Ave delay,4.0148740489164,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=1.7",0.7/0.9/1.5/1.7,"0.7,0.9,1.5,1.7-","$0=0.7, $1=0.9, $2=1.5, $3=1.7",RedeFilas,4693,0,#0,results,3,3
7,Filas-3-20231214-09:15:50-4693,RedeFilas.sink2,Ave delay,1.4887214780478,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=0.9, $2=1.5, $3=1.7",0.7/0.9/1.5/1.7,"0.7,0.9,1.5,1.7-","$0=0.7, $1=0.9, $2=1.5, $3=1.7",RedeFilas,4693,0,#0,results,3,3
8,Filas-4-20231214-09:15:50-4698,RedeFilas.sink1,Ave delay,1.0616815164068,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=0.7, $3=0.9",0.7/1.3/0.7/0.9,"0.7,1.3,0.7,0.9-","$0=0.7, $1=1.3, $2=0.7, $3=0.9",RedeFilas,4698,0,#0,results,4,4
9,Filas-4-20231214-09:15:50-4698,RedeFilas.sink2,Ave delay,7.6350894454861,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=0.7, $3=0.9",0.7/1.3/0.7/0.9,"0.7,1.3,0.7,0.9-","$0=0.7, $1=1.3, $2=0.7, $3=0.9",RedeFilas,4698,0,#0,results,4,4
10,Filas-5-20231214-09:15:50-4703,RedeFilas.sink1,Ave delay,0.67765387687532,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=0.7, $3=1.7",0.7/1.3/0.7/1.7,"0.7,1.3,0.7,1.7-","$0=0.7, $1=1.3, $2=0.7, $3=1.7",RedeFilas,4703,0,#0,results,5,5
11,Filas-5-20231214-09:15:50-4703,RedeFilas.sink2,Ave delay,7.5370755965644,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=0.7, $3=1.7",0.7/1.3/0.7/1.7,"0.7,1.3,0.7,1.7-","$0=0.7, $1=1.3, $2=0.7, $3=1.7",RedeFilas,4703,0,#0,results,5,5
12,Filas-6-20231214-09:15:50-4708,RedeFilas.sink1,Ave delay,1.7770489696732,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=1.5, $3=0.9",0.7/1.3/1.5/0.9,"0.7,1.3,1.5,0.9-","$0=0.7, $1=1.3, $2=1.5, $3=0.9",RedeFilas,4708,0,#0,results,6,6
13,Filas-6-20231214-09:15:50-4708,RedeFilas.sink2,Ave delay,2.3877335269667,Filas,20231214-09:15:50,20231214-091550,Filas,redes.ini,"$0=0.7, $1=1.3, $2=1.5, $3=0.9",0.7/1.3/1.5/0.9,"0.7,1.3,1.5,0.9-","$0=0.7, $1=1.3, $2=1.5, $3=0.9",RedeFilas,4708,0,#0,results,6,6
14,Filas-7-20231214-09:15:51-4713,RedeFilas.sink1,Ave delay,2.0876344438272,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.7, $1=1.3, $2=1.5, $3=1.7",0.7/1.3/1.5/1.7,"0.7,1.3,1.5,1.7-","$0=0.7, $1=1.3, $2=1.5, $3=1.7",RedeFilas,4713,0,#0,results,7,7
15,Filas-7-20231214-09:15:51-4713,RedeFilas.sink2,Ave delay,1.6507184152849,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.7, $1=1.3, $2=1.5, $3=1.7",0.7/1.3/1.5/1.7,"0.7,1.3,1.5,1.7-","$0=0.7, $1=1.3, $2=1.5, $3=1.7",RedeFilas,4713,0,#0,results,7,7
16,Filas-8-20231214-09:15:51-4718,RedeFilas.sink1,Ave delay,1.386154909259,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=0.7, $3=0.9",0.8/0.9/0.7/0.9,"0.8,0.9,0.7,0.9-","$0=0.8, $1=0.9, $2=0.7, $3=0.9",RedeFilas,4718,0,#0,results,8,8
17,Filas-8-20231214-09:15:51-4718,RedeFilas.sink2,Ave delay,14.557941942522,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=0.7, $3=0.9",0.8/0.9/0.7/0.9,"0.8,0.9,0.7,0.9-","$0=0.8, $1=0.9, $2=0.7, $3=0.9",RedeFilas,4718,0,#0,results,8,8
18,Filas-9-20231214-09:15:51-4723,RedeFilas.sink1,Ave delay,1.0963632881342,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=0.7, $3=1.7",0.8/0.9/0.7/1.7,"0.8,0.9,0.7,1.7-","$0=0.8, $1=0.9, $2=0.7, $3=1.7",RedeFilas,4723,0,#0,results,9,9
19,Filas-9-20231214-09:15:51-4723,RedeFilas.sink2,Ave delay,8.4062146573576,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=0.7, $3=1.7",0.8/0.9/0.7/1.7,"0.8,0.9,0.7,1.7-","$0=0.8, $1=0.9, $2=0.7, $3=1.7",RedeFilas,4723,0,#0,results,9,9
20,Filas-10-20231214-09:15:51-4728,RedeFilas.sink1,Ave delay,1.2230283761956,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=1.5, $3=0.9",0.8/0.9/1.5/0.9,"0.8,0.9,1.5,0.9-","$0=0.8, $1=0.9, $2=1.5, $3=0.9",RedeFilas,4728,0,#0,results,10,10
21,Filas-10-20231214-09:15:51-4728,RedeFilas.sink2,Ave delay,1.532060940605,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=1.5, $3=0.9",0.8/0.9/1.5/0.9,"0.8,0.9,1.5,0.9-","$0=0.8, $1=0.9, $2=1.5, $3=0.9",RedeFilas,4728,0,#0,results,10,10
22,Filas-11-20231214-09:15:51-4733,RedeFilas.sink1,Ave delay,1.148913693071,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=1.5, $3=1.7",0.8/0.9/1.5/1.7,"0.8,0.9,1.5,1.7-","$0=0.8, $1=0.9, $2=1.5, $3=1.7",RedeFilas,4733,0,#0,results,11,11
23,Filas-11-20231214-09:15:51-4733,RedeFilas.sink2,Ave delay,1.5338824214485,Filas,20231214-09:15:51,20231214-091551,Filas,redes.ini,"$0=0.8, $1=0.9, $2=1.5, $3=1.7",0.8/0.9/1.5/1.7,"0.8,0.9,1.5,1.7-","$0=0.8, $1=0.9, $2=1.5, $3=1.7",RedeFilas,4733,0,#0,results,11,11
24,Filas-12-20231214-09:15:52-4738,RedeFilas.sink1,Ave delay,0.79806456606124,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=0.7, $3=0.9",0.8/1.3/0.7/0.9,"0.8,1.3,0.7,0.9-","$0=0.8, $1=1.3, $2=0.7, $3=0.9",RedeFilas,4738,0,#0,results,12,12
25,Filas-12-20231214-09:15:52-4738,RedeFilas.sink2,Ave delay,5.7300694618368,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=0.7, $3=0.9",0.8/1.3/0.7/0.9,"0.8,1.3,0.7,0.9-","$0=0.8, $1=1.3, $2=0.7, $3=0.9",RedeFilas,4738,0,#0,results,12,12
26,Filas-13-20231214-09:15:52-4743,RedeFilas.sink1,Ave delay,0.72782578219081,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=0.7, $3=1.7",0.8/1.3/0.7/1.7,"0.8,1.3,0.7,1.7-","$0=0.8, $1=1.3, $2=0.7, $3=1.7",RedeFilas,4743,0,#0,results,13,13
27,Filas-13-20231214-09:15:52-4743,RedeFilas.sink2,Ave delay,12.026373366253,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=0.7, $3=1.7",0.8/1.3/0.7/1.7,"0.8,1.3,0.7,1.7-","$0=0.8, $1=1.3, $2=0.7, $3=1.7",RedeFilas,4743,0,#0,results,13,13
28,Filas-14-20231214-09:15:52-4748,RedeFilas.sink1,Ave delay,1.7790916597564,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=1.5, $3=0.9",0.8/1.3/1.5/0.9,"0.8,1.3,1.5,0.9-","$0=0.8, $1=1.3, $2=1.5, $3=0.9",RedeFilas,4748,0,#0,results,14,14
29,Filas-14-20231214-09:15:52-4748,RedeFilas.sink2,Ave delay,1.4142338567582,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=1.5, $3=0.9",0.8/1.3/1.5/0.9,"0.8,1.3,1.5,0.9-","$0=0.8, $1=1.3, $2=1.5, $3=0.9",RedeFilas,4748,0,#0,results,14,14
30,Filas-15-20231214-09:15:52-4753,RedeFilas.sink1,Ave delay,0.83727863421994,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=1.5, $3=1.7",0.8/1.3/1.5/1.7,"0.8,1.3,1.5,1.7-","$0=0.8, $1=1.3, $2=1.5, $3=1.7",RedeFilas,4753,0,#0,results,15,15
31,Filas-15-20231214-09:15:52-4753,RedeFilas.sink2,Ave delay,1.5739735800502,Filas,20231214-09:15:52,20231214-091552,Filas,redes.ini,"$0=0.8, $1=1.3, $2=1.5, $3=1.7",0.8/1.3/1.5/1.7,"0.8,1.3,1.5,1.7-","$0=0.8, $1=1.3, $2=1.5, $3=1.7",RedeFilas,4753,0,#0,results,15,15
